"業種(飲食業）","業種（宿泊業）","施設名称","施設名称カナ","施設郵便番号","施設住所","施設住所(方書)","認証日","施設住所市町村"
"〇","","あ゛～","ア゛～","9900044","山形市木の実町6-32","","2021/06/22","山形市"
"〇","","アイアイひらた　お食事処　南麓","アイアイヒラタ　オショクジドコロ　ナンロク","9996724","酒田市山楯字南山32-4","","2021/05/20","酒田市"
"〇","","あいこう亭","アイコウテイ","9900831","山形市西田2-24-55","","2021/09/15","山形市"
"〇","","Icecafe弘水-KOSUI-","アイスカフェコウスイ","9940026","天童市東本町3-6-39","","2021/05/08","天童市"
"〇","","ISLAND PEAK","アイランドピーク","9900043","山形市本町1-7-24","","2021/06/04","山形市"
"〇","","アイリーンズ　キッチン","アイリーンズ　キッチン","9900057","山形市宮町3-7-34","","2021/05/12","山形市"
"〇","","葵","アオイ","9900833","山形市春日町6-2","","2021/06/18","山形市"
"〇","","赤ひげ　さくら家","アカヒゲ　サクラヤ","9993762","東根市神町北1-2-12","","2021/10/18","東根市"
"","〇","赤湯温泉　丹波館","アカユオンセン　タンバカン","9992211","南陽市赤湯1014","","2021/09/14","南陽市"
"〇","","赤湯温泉　やきにく屋さくらんぼ","アカユオンセン　ヤキニクヤサクランボ","9992211","南陽市赤湯944-2","","2021/06/15","南陽市"
"〇","","赤湯ラーメン龍上海　医大前店","アカユラーメンリュウシャンハイ　イダイマエテン","9902331","山形市飯田西4-1-20","","2021/06/16","山形市"
"〇","","秋しの","アキシノ","9900042","山形市七日町2-3-22","高橋ビル3番館2F","2021/07/28","山形市"
"〇","","AquA（アクア）","アクア","9998232","酒田市市条字荒瀬7-5","","2021/09/16","酒田市"
"〇","","AXEL","アクセル","9992211","南陽市赤湯420-6","サンパレスビル1F","2021/07/06","南陽市"
"〇","","Accue Marie TAMAHIME","アクーユマリエタマヒメ","9960002","新庄市金沢2136-1","","2021/07/29","新庄市"
"〇","","あけぼの三丁目","アケボノサンチョウメ","9960025","新庄市若葉町14-36","リーフムーンビル2Ｆ","2021/10/18","新庄市"
"〇","","亞呉屋　山形本店","アゴヤ　ヤマガタホンテン","9902446","山形市白山1-9-15","","2021/10/11","山形市"
"〇","","あさがらす","アサガラス","9993511","河北町谷地己819-1","","2021/10/06","河北町"
"","〇","朝日山の家","アサヒヤマノイエ","9900721","西川町大字大井沢1807-1","","2021/08/25","西川町"
"〇","","足湯カフェ　チットモッシェ","アシユカフェ　チットモッシェ","9997204","鶴岡市湯温海甲170","","2021/08/06","鶴岡市"
"〇","","味蔵　中国料理","アジクラ　チュウゴクリョウリ","9910003","寒河江市大字西根字上河原96-1","","2021/07/28","寒河江市"
